Paper_ID,Tier,Component,Problem_Addressed,Purpose_Clause_As_Written,Operation_Summary,Formula_or_Figure,Named_After_Missing_Info,Ablated,Evidence_Note
01_WaveShaped_TIP2020,A2,Wave-shaped structure (W-Net),感受野不足以编码语义信息,"To enlarge receptive fields for encoding more semantic information, we stack convolutional encoder-decoder structures together",堆叠多个非对称编解码器形成波峰波谷,Fig.5 Fig.6,yes(语义信息),yes(Fig.8 递进式四变体),Conclusion 与 Introduction 表述一致
01_WaveShaped_TIP2020,A2,Short-cut connections on crests and troughs,下采样丢失空间细节,"To maximize data flow and feature re-usage degree, we resize and copy the outputs of previous encoding layers to corresponding decoding layers",编码层输出 resize+copy 后与解码层拼接,Fig.8,yes(空间定位信息),yes(Fig.8 a-d),Fig.8 每个面板加一个连接
01_WaveShaped_TIP2020,A2,Four-error loss,单一误差无法约束半透明合成,"we propose a complicated loss function that includes four errors of smoke density, smoke color, background color, and composited observed color",四项误差联合监督,Methods D. Loss Function,no,unknown,Introduction 贡献 3
02_CCENet_PR2022,A2,Cubic-cross Convolutional Attention (CCA),局部空间细节与全局语义信息的矛盾;长程依赖缺失,"To reduce computational complexity, we propose a Cubic-cross Convolutional Attention module (CCA) to efficiently model long-range dependencies of smoke pixels","沿两个空间轴与一个通道轴分别卷积后融合;宽度轴需先转置 h×w×C→h×C×w 再转置回",Fig.1,yes(长程依赖),yes(Table 2 空间/通道信息对比),"锚点句 As shown in Table 2 ... achieves better performance"
02_CCENet_PR2022,A2,Count Prior Attention (CPA),缺少图像级的全局类别信息,"To embed global category information, we propose a count prior structure to model and supervise the count of smoke pixels",生成计数先验图并与 reshape 后输入相乘,Methods 3.2.2-3.2.4,yes(全局计数信息),yes,消融显示无增益并给出 hedge 解释(测试集不含类烟物体)
02_CCENet_PR2022,A2,Count loss,无法保证计数图学到正确信息,"To ensure the network can correctly extract a count prior map, we impose a regression loss on the count prior map and corresponding ideal count map",回归损失约束计数图,Methods 3.2.3,no,unknown,损失嵌在模块内部而非独立小节
03_Lightweight_PR2023,A2,Channel Split and Shuffle Attention Module (CSSAM),参数量大导致无法部署于算力受限设备,"To efficiently extract attention features, we propose a Channel Split and Shuffle Attention Module (CSSAM), and repeatedly apply CSSAM in different encoding stages",通道拆分与洗牌降参 + 注意力补偿精度,Fig.3,partial(冗余信息),yes(4.3.1 模块消融),重复堆叠以获得尺度不变性
03_Lightweight_PR2023,A2,Spatial Enhancement Module (SEM),中层特征的空间细节表达不足,"To improve the segmentation performance of small or inconspicuous smoke objects, a spatial enhancement module is proposed to learn the spatial interdependence","max-pool 与 avg-pool 双路拼接后由 GAP 激活输出加权",Methods 3.2.1,yes(空间细节),yes,Conclusion 用被动语态复述
03_Lightweight_PR2023,A2,Channel Attention Module (CAM),最高层通道间依赖未显式建模;烟与云极难区分,"we design a channel attention module to extract interdependence information across channels",2D 特征 reshape 为 1D 后逐元素矩阵乘,Methods 3.2.2,yes(通道间依赖),yes,降低计算复杂度是附带目的
03_Lightweight_PR2023,A2,Feature Fusion Module (FFM) + Global Coefficient Path (GCP),SEM 与 CAM 的输出需要融合且需再加全局信息,"we design a Feature Fusion Module (FFM) and a Global Coefficient Path (GCP) to fuse the outputs of SEM and CAM in an attention way",融合后乘以 GCP 的注意力系数,Methods 3.2.3,no,yes(含损失权重扫描 Table 4),末项整合式贡献
07_CGRNet_TIP2021,A1,Attention Convolutional GRU (Att-ConvGRU),DCNN 无循环结构导致长程上下文依赖不可辨,"To preserve the spatial correlation of 2D features, we propose the Att-ConvGRU by first replacing all fully connected layers of the 1D GRU with convolutional ones and then connecting the input signal Xt with the hidden state Ht−1",1D GRU 全连接层换为卷积层 + 注意力机制,Methods B,yes(长程上下文依赖),yes(移除后掉约 3%),"消融原文 the removal of stacked Att-ConvGRUs causes a performance degradation of approximately 3%"
07_CGRNet_TIP2021,A1,Multi-scale Context Contrasted Local (MCCL),小或不显眼烟雾对比度低,"we propose a Multi-scale Context Contrasted Local (MCCL) model to capture locally discriminative features",四个不同 rate 的空洞卷积间求对比特征,Methods B,yes(局部判别信息),yes,Introduction 贡献 3
07_CGRNet_TIP2021,A1,Dense Pyramid Pooling Module (DPPM),烟与霾云难区分需要全局上下文,"we propose a Dense Pyramid Pooling Module (DPPM) to incorporate local and global features",密集金字塔池化,Methods B,yes(全局上下文),yes,与 MCCL 配套
07_CGRNet_TIP2021,A1,Dual classification assistance,类烟物体被误判为烟,"we present a smoke segmentation strategy with dual classification assistance",一支概率监督交叉熵损失;另一支概率与分割结果相乘,Methods C,yes(图像级类别信息),yes,Introduction 贡献 1
05_NewtonInterpolation_PR2025,A2,Newton Interpolation Module (NIM),多尺度特征融合只用拼接或相加无法建模内在结构,"To mine more structures in sequential feature maps, we use the above-mentioned newton interpolation method to estimate a new feature map from these sequential feature maps, instead of feature concatenation or summation",对同位置跨尺度特征值做 Newton 插值,Methods 3.2.3,yes(结构化信息),yes(4.3.1 权重与阶数),CRediT 显示正文由学生起草
05_NewtonInterpolation_PR2025,A2,Higher-order polynomial for higher layers,高层需要更高阶信息,"To further obtain multi-scale structured information, we repeatedly use the proposed NIM in different-level decoding stages",高层复制并 resize 更多编码图以提高阶数,Methods 3.3,no,yes,"Conclusion 指出局限:阶数依赖与过拟合风险"
06_MIFNet_PR2025,A3,LFE-Former encoder (含 LFEP),MSA 计算量大且局部特征增强不足,"To overcome this limitation, we propose a Local Feature Enhancement Transformer (LFE-Former) for encoding; To address these issues, we propose a Local Feature Enhancement Propagation (LFEP) module to replace MSA",用 LFEP 替换多头自注意力,Fig.1,yes(局部特征),yes(Transformer 块消融),CRediT 显示正文由 Kang Li 起草
06_MIFNet_PR2025,A3,Multi-level Attention Coupled Module (MACM),双编码器之间信息未充分交互,"to fully integrate global and local information, we design a Multi-level Attention Coupled Module (MACM)",跨编码器多层注意力耦合,Methods,yes(跨编码器交互信息),yes(MACM 消融),"消融原文 The reason is that MACM can facilitate more extensive interactions"
09_MultiStage_TIP2026,B,Cross-domain Interaction Attention Module (CIAM),空间与频域信息未联合;实时性要求,"To effectively capture the spatial feature distribution of smoke, we replace standard pooling and convolution operations with Global Average Pooling and asymmetric convolutions",GAP + 水平/垂直非对称卷积,Methods B,yes(跨域信息),yes(Table I/II 变体),Tier B 仅作佐证
09_MultiStage_TIP2026,B,Group Convolutional Block Attention Module (GCBAM),编解码之间过渡不平滑,"To ensure a smooth transition between the encoder and decoder, we design a Group Convolutional Block Attention Module (GCBAM) as a mediator",分组卷积块注意力作中介,Methods C,no,yes,"让步句 Although the computational complexity remains comparable, GCBAM demonstrates superior performance"
10_FrequencySpace_TCE2025,B,Frequency-Space Interaction Module (FSIM),频域与空域特征融合效率低,"To address this challenge, we design a Frequency-Space Interaction Module (FSIM) by combining 2D Fourier Transform and asymmetric convolutions",2D FFT + 非对称卷积,Methods B,yes(频域信息),yes,Tier B 仅作佐证
12_CNN_Transformer_PR2023,A2,Dual encoders (ResNet34 + Swin),CNN 缺长程依赖;Transformer 缺局部与平移不变性,"To obtain contextual features and maintain certain spatial details by convolutional neural networks, we use the four encoding blocks of ResNet34 to build a CNN encoder",双编码分支,Fig.2a,yes(长程依赖/空间细节),yes(4.5.2 编码器评估),互补性论证见 Introduction
