Section,Rule_ID,Pattern,Supporting_Papers_With_Tier,Support_Count_TierA,Location_Hint,Temporal_Span,Topic_Span,Venue_Span,Confidence,Genericity_Risk
Title,T1,"机制在前任务在后，用 for 铰接","07(A1);17(A1);20(A1);31(A1);36(A1);01(A2);02(A2);03(A2);05(A2);11(A2);12(A2);13(A2);16(A2);19(A2);30(A2);04(A3);06(A3);18(A3);09(B);10(B)",18,标题全句,2012-2026,smoke+dehaze+medical+SR,IEEE+Elsevier+KSII,high,low
Title,T2,"标题写机制全称，缩写在摘要首次定义","07(A1);36(A1);01(A2);02(A2);03(A2);12(A2);13(A2);30(A2);04(A3);06(A3);18(A3);09(B);10(B)",11,标题 vs 摘要首次定义句,2019-2026,smoke+medical+SR,IEEE+Elsevier,high,low
Title,T3,"机制槽位偏好成对/双路命名","17(A1);30(A2);12(A2);13(A2);16(A2);02(A2);18(A3);10(B);09(B)",7,标题机制短语,2012-2026,smoke+medical+fewshot,IEEE+Elsevier+KSII,medium-high,low
Title,T4,"A/An + 评价形容词开头","36(A1);03(A2);12(A2);06(A3)",4,标题首词,2023-2025,smoke+medical+SR,Elsevier(3)+IEEE(1),medium,medium — 与 venue 强相关
Title,T5,"任务名取当前最精确粒度并在正文论证升级","21(A1);20(A1);01(A2);08(A2);16(A2);30(A2);02(A2)",7,标题任务名 + Introduction 粒度论证句,2011-2022,smoke only,IEEE+Elsevier+KSII,high,low
Title,T6,"标题槽位不超过两个，9-14 词","07(A1);20(A1);31(A1);36(A1);01(A2);02(A2);03(A2);12(A2);13(A2);19(A2);30(A2)",11,标题全句,2016-2025,all,all,medium,medium — 部分受审稿压缩影响
Abstract,A1,"首句难点归因到对象物理/视觉属性","07(A1);17(A1);31(A1);02(A2);05(A2);13(A2);19(A2);30(A2);04(A3);06(A3)",10,Abstract 第 1 句,2012-2025,smoke+medical,IEEE+Elsevier+KSII,medium-high,low
Abstract,A2,"钩连句 To solve/overcome these problems we propose X（缩写首次定义）","07(A1);36(A1);01(A2);02(A2);13(A2);16(A2);03(A2);05(A2);08(A2);30(A2);04(A3);06(A3);09(B);10(B)",12,Abstract 第 2-3 句,2016-2026,smoke+medical+SR,IEEE+Elsevier+KSII,high,medium — 句型常见但回指难点的强制性是个人特征
Abstract,A3,"逐模块巡览：每模块前置目的从句 + 序数连接词","07(A1);20(A1);31(A1);36(A1);01(A2);02(A2);03(A2);05(A2);11(A2);12(A2);13(A2);16(A2);19(A2);30(A2);04(A3);06(A3);18(A3);09(B);10(B)",17,Abstract 主体全部句子,2016-2026,smoke+dehaze+medical+SR+fewshot,IEEE+Elsevier+KSII,high,low — 核心特征
Abstract,A4,"结尾固定 Experiments/Experimental results show that ... 且不给数字","07(A1);17(A1);20(A1);21(A1);31(A1);36(A1);01(A2);02(A2);03(A2);05(A2);08(A2);11(A2);12(A2);13(A2);16(A2);19(A2);30(A2);04(A3);06(A3);18(A3);09(B);10(B)",20,Abstract 末 1-2 句,2011-2026,all,all,high,high(句式本身是通用学术英语)/low(不给数字这一点)
Abstract,A5,"确定性强度分层，与年份/地位无关","07(A1);36(A1);03(A2);11(A2);12(A2);16(A2);30(A2);01(A2)",8,Abstract 结论句的比较级与副词,2019-2025,smoke+dehaze+medical+SR,IEEE+Elsevier+KSII,medium-high,medium
Abstract,A6,"180-260 词，长度增长花在模块数不在背景","36(A1);07(A1);31(A1);01(A2);02(A2);03(A2);13(A2);16(A2)",8,Abstract 全段词数,2016-2025,all,all,medium-high,medium
Introduction,I1,"首段落在真实世界代价上","21(A1);31(A1);01(A2);03(A2);07(A1);13(A2);19(A2);30(A2);02(A2)",9,Introduction 第 1 段,2011-2024,smoke+medical,IEEE+Elsevier+KSII,medium-high,low
Introduction,I2,"传统方案物理前提失效式过渡","21(A1);17(A1);20(A1);31(A1);36(A1);19(A2);30(A2);02(A2);01(A2)",9,Introduction 第 1-2 段,2011-2025,smoke(8)+SR(1),IEEE+Elsevier+KSII,high(限烟雾)/medium(迁移形式),low — 但受主题强约束
Introduction,I3,"显式任务分类或流程分解 can be classified/divided into N","21(A1);31(A1);20(A1);01(A2);08(A2);16(A2);13(A2)",7,Introduction 中段的枚举句,2011-2024,smoke+medical,IEEE+Elsevier+KSII,high,low
Introduction,I4,"难点用 N folds 或 main reason(s) may be 枚举","01(A2);16(A2);07(A1);20(A1);03(A2);02(A2)",5,Introduction 难点段,2017-2023,smoke only,IEEE+Elsevier,medium-high,low — 需扣除 03/07 的文本复用
Introduction,I5,"缺陷写成条件式失效 If/Once the scene lacks ...","17(A1);21(A1);31(A1);01(A2);11(A2);19(A2);30(A2);02(A2)",8,Introduction 文献评述句,2011-2022,smoke+dehaze,IEEE+Elsevier+KSII,high(手工特征期)/medium(深度学习期),low
