"Paper_ID","shard","section_canonical","section_original_heading","start_anchor_or_line","end_anchor_or_line","anchor_type","quality_notes","issues_fixed"
"01_WaveShaped_TIP2020_Smoke_Density_Estimation","G","Abstract","Abstract","L16","L21","line","verbatim; Index Terms kept with abstract block","dual-column join"
"01_WaveShaped_TIP2020_Smoke_Density_Estimation","G","Acknowledgments","(none)","","","none","not present in extraction",""
"01_WaveShaped_TIP2020_Smoke_Density_Estimation","G","Conclusion","VI. CONCLUSION","L232","L235","line","clean",""
"01_WaveShaped_TIP2020_Smoke_Density_Estimation","G","Discussion","(none)","","","none","missing as separate section; discussion folded into Section V subsections",""
"01_WaveShaped_TIP2020_Smoke_Density_Estimation","G","Introduction","I. INTRODUCTION","L22","L45","line","drop-cap normalized; running headers removed","OCR; headers/footers"
"01_WaveShaped_TIP2020_Smoke_Density_Estimation","G","Methods","III. SYNTHESIZING METHOD OF SMOKE DENSITY DATA SETS; IV. THE PROPOSED W-NET FOR SMOKE DENSITY ESTIMATION","L62","L167","line","two top-level sections both map to Methods; equations reformatted for readability","broken formulas; section-title glue"
"01_WaveShaped_TIP2020_Smoke_Density_Estimation","G","Other","Appendix: Figure and Table Captions","L242","L282","line","verbatim captions segregated from body; Fig. 9 caption shows reader condensation (flagged)","caption/body mix"
"01_WaveShaped_TIP2020_Smoke_Density_Estimation","G","References","REFERENCES","L236","L241","line","entries EXCLUDED: reader-condensed/non-verbatim (source S109-S111 flagged uncertain); stub note kept","reference-list contamination avoided"
"01_WaveShaped_TIP2020_Smoke_Density_Estimation","G","RelatedWork","II. RELATED WORK","L46","L61","line","clean","dual-column join"
"01_WaveShaped_TIP2020_Smoke_Density_Estimation","G","Results","V. EXPERIMENTAL RESULTS","L168","L231","line","authorial wording preserved (e.g. a superlative-comparative phrase left as written); captions moved to appendix","caption/body mix; table data excluded"
"01_WaveShaped_TIP2020_Smoke_Density_Estimation","G","Title","(title block)","L12","L15","line","title/byline reconstructed; venue/DOI header lines stripped","headers/footers removed"
"02_CCENet_PR2022_Cubic-cross_convolutional_attention_smoke_segmentation","I","Abstract","Abstract","S005","S007","block_anchor","high; keywords kept with abstract","none"
"02_CCENet_PR2022_Cubic-cross_convolutional_attention_smoke_segmentation","I","Acknowledgments","Acknowledgments","S097","S098","block_anchor","high; funding statement verbatim","none"
"02_CCENet_PR2022_Cubic-cross_convolutional_attention_smoke_segmentation","I","Conclusion","5. Conclusions","S093","S094","block_anchor","high","none"
"02_CCENet_PR2022_Cubic-cross_convolutional_attention_smoke_segmentation","I","Discussion","(absent)","","","none","no standalone Discussion in source","noted absence"
