"Paper_ID","Section","words","sents","sent_mean","sent_median","sent_over40","paras","para_mean","passive_k","we_k","our_k","we_propose_k","we_past_k","hedge_k","boost_k","hedge_boost","connect_k","nominal_k","acronym_k","purpose_k","causaltail_k","sothat_n","reason_hedge_n","reason_flat_n","slightly_n","abovement_n","asshown_k","wefind_n","notonly_n","Era","Paradigm","Topic","Venue","Tier","KangLiPaper"
"01","Front","1933","103","19.4","18","2.9","20","99","8.3","8.3","3.6","5.2","0","6.2","2.1","3","3.6","94.7","12.4","3.6","4.1","0","0","2","0","1","0","0","1","E2_2020-2026","P2_deep","T1_smoke","V_IEEE","A2","no"
"02","Front","1679","82","20.7","19","6.1","14","123.4","9.5","7.7","1.8","6","0","2.4","3","0.8","4.8","85.8","17.3","3","1.2","0","0","1","0","1","0","0","0","E2_2020-2026","P2_deep","T1_smoke","V_Elsevier","A2","no"
"03","Front","2655","122","22.3","20","3.3","16","169.3","6.8","6.8","1.9","6","0","2.3","3.4","0.67","3.8","91.5","28.2","4.5","1.5","0","1","0","0","1","0","0","1","E2_2020-2026","P2_deep","T1_smoke","V_Elsevier","A2","yes"
"04","Front","2193","98","23.5","21","8.2","18","127.8","5.9","5.9","1.8","3.6","0","1.8","0.9","2","9.1","92.6","36.5","3.2","0.5","0","0","0","0","0","0.5","1","0","E2_2020-2026","P2_deep","T1_smoke","V_IEEE","A3","no"
"05","Front","2027","99","21.2","18","5.1","19","109.7","8.4","7.4","2.5","3","0","3.9","5.9","0.67","4.9","94.2","14.8","3.5","1.5","0","0","0","0","1","1","0","1","E2_2020-2026","P2_deep","T1_smoke","V_Elsevier","A2","no"
"06","Front","2123","104","21.2","21","1.9","19","115.2","6.1","7.1","1.4","5.7","0","1.9","4.7","0.4","5.7","100.8","29.2","2.8","0.9","0","0","0","0","0","0","0","0","E2_2020-2026","P2_deep","T1_smoke","V_Elsevier","A3","yes"
"07","Front","2204","104","21.8","19","6.7","22","103","7.7","9.5","4.1","6.4","0","2.7","4.5","0.6","2.7","73.5","37.2","4.1","1.4","0","1","0","0","0","1.4","0","1","E2_2020-2026","P2_deep","T1_smoke","V_IEEE","A1","no"
"08","Front","2177","115","19.4","18","0.9","21","105.8","9.6","9.6","5.5","5.1","0","1.8","4.1","0.44","9.2","69.8","24.8","3.7","1.4","0","0","0","0","1","0","1","1","E1_2011-2019","P2_deep","T1_smoke","V_Elsevier","A2","no"
"09","Front","2015","101","20.7","20","3","22","93.5","5","10.9","2.5","6","0","2","1.5","1.33","6.5","100.2","31.8","3.5","0.5","0","0","0","0","1","1","0","1","E2_2020-2026","P2_deep","T1_smoke","V_IEEE","B","yes"
"10","Front","1812","88","21.2","20","3.4","19","97","1.7","8.8","3.9","5.5","0","3.3","2.2","1.5","5.5","95.5","23.7","2.2","0.6","0","0","0","0","2","0.6","0","0","E2_2020-2026","P2_deep","T1_smoke","V_IEEE","B","yes"
