Paper_ID,Tier,Year,Diagnosed_Missing_Information,RelatedWork_Positioning,Module_Named_After_Missing_Info,Ablation_Variant_Exists,Main_Result_Claim,Chain_Complete,Break_Point
01_WaveShaped_TIP2020,A2,2020,"下采样丢空间细节;感受野不足以编码语义(Introduction 三类技术切分:dilation/encoder-decoder/short-cut)","RW 末段 In this paper we propose W-Net ... it's the first time",Wave-shaped structure + crest/trough short-cut,yes(Fig.8 四个递进面板 + Table I),"Experimental results show that our method outperforms existing methods on both smoke density estimation and smoke segmentation",yes,无
02_CCENet_PR2022,A2,2022,"局部空间细节与全局语义信息的矛盾;缺图像级计数信息","RW 末段 However above-mentioned methods do not fully focus on ... Inspired by attention models we design",CCA(长程依赖) + CPA(全局计数),yes(4.3 消融;Table 2 空间/通道对比),"Experiments on both synthetic and real smoke datasets show that our method outperforms existing state-of-the-art methods",yes,"CPA 在三个测试集无增益,作者用 hedge 解释为数据集不含类烟物体——链条在此处主动断开并说明原因,属诚实处理"
03_Lightweight_PR2023,A2,2023,"算力受限设备无法部署;小或不显眼烟雾细节不足;烟与云难分","RW 2.1 末 Inspired by existing methods we also design a lightweight network in a similar style",CSSAM + SEM(空间细节) + CAM(通道依赖) + FFM/GCP,yes(4.3.1 模块 + 4.3.2 损失权重),"our method consistently outperforms these comparison algorithms on three synthetic smoke datasets and real smoke images, and its parameters are less than 1 M",yes,"主指标上输给自己的前作 W-Net(DS02/DS03 mIoU slightly higher),用参数量完成非对称让步"
04_SAGINN_TIP2024,A3,2024,"多尺度关键信息未全局交互;类间相似导致误分割","RW 末节 Smoke Semantic Segmentation(任务节收尾,不是机制节)",GINL + PHSA + Smoke-Aware Loss,yes(C. Ablation Studies 含 Table I-X),"A large number of quantitative and qualitative experiments prove that our method can achieve more accurate location and more precise boundary segmentation",yes,"RW 末节是任务节而非机制节,违反 R2;学生共同一作起草"
05_NewtonInterpolation_PR2025,A2,2025,"多尺度融合只用拼接或相加,无法建模跨尺度内在结构","RW 仅两节 Semantic segmentation → Smoke semantic segmentation",Newton Interpolation Module(结构化信息),yes(4.3.1 权重与阶数;4.3.2 短连接与加权方式),"Extensive experiments validate that our method significantly outperforms existing state-of-art algorithms on both virtual and real smoke datasets",yes,"Conclusion 主动指出阶数依赖与过拟合风险;CRediT 显示正文由学生起草"
06_MIFNet_PR2025,A3,2025,"半透明烟雾与背景区分度弱;MSA 计算量大且局部增强不足;双编码器交互不足","RW 末节 Transformer and CNN combined methods(符合 R2)",LFE-Former/LFEP + MACM + PMFD,yes(Transformer 块/MACM/解码器/损失 四组消融),"MIFNet has proven its superiority, particularly excelling in handling edge details",yes,"CRediT 显示正文由 Kang Li 起草;与 09/10 共享结构模板"
07_CGRNet_TIP2021,A1,2021,"DCNN 无循环结构导致长程上下文依赖不可辨;小烟对比度低;类烟物体干扰","RW 末节 Recurrent Networks for Computer Vision + Inspired by the success of GRU based methods(符合 R2 与 R5)",Att-ConvGRU + MCCL + DPPM + 双分类辅助,yes(移除 Att-ConvGRU 掉约 3%),"Extensive experiments validate that our method significantly outperforms existing state-of-art algorithms on smoke datasets",yes,"Results 缺 D 小节(提取丢失),消融覆盖不可完整核对"
08_Deep_Smoke_Segmentation_2019,A2,2019,"手工特征难设计;多尺度问题;人工标注模糊烟雾困难(Introduction 用 two main ways 压缩解法)","RW 末段 Different with previous work ... As far as we know, this is the first paper",双路编解码 + 融合小网络 + 合成数据生成,yes(D. Ablation analysis 验证第二路与 skip 结构),"Comparison experiments show that our method truly achieves much better performance than the state-of-the-art segmentation algorithms based on FCNs",yes,"局限性写成 Results 内的 F 子节(全语料唯一),三条归因全指向任务难度,仅一条指向自身(速度)"
09_MultiStage_TIP2026,B,2026,"频域与空域信息未联合;实时性受限;编解码过渡不平滑","RW 末节 Lightweight Framework(符合 R2)",CIAM + GCBAM + MGIM + GFM + EEM(五个模块),yes(Table I 变体描述 + Table II 性能),"Experimental results demonstrate that our MGICFN achieves state-of-the-art performance on the synthetic SYN70K and real-world SFS3K datasets",yes,"Tier B 仅作佐证;Conclusion 主动指出推理速度受高初始分辨率与频域开销限制"
10_FrequencySpace_TCE2025,B,2025,"现有模型复杂度高且表达能力受限","RW 末节 Lightweight Framework(符合 R2)",FSIM + GMDF + HFAM,yes(D. Ablation Experiments),"Experimental results demonstrate that FSIHAN outperforms current state-of-the-art semantic segmentation algorithms on SYN70K SMOKE5K and real-world tests",yes,"Tier B;与 09 共享作者与结构模板,不可作独立证据;Conclusion 承认处理速度仍是局限"
11_Confidence_Prior_PR2021,A2,2021,"已有先验受离群值与噪声影响且无法控制抑制程度;暗通道先验在亮区失效","RW 末段 In this paper we also propose ... Different from previous single image dehazing approaches",Confidence prior + 自适应比值回归,yes(4. 自然图与合成图两组比较 + 参数分析),"Extensive experiments on both natural and synthetic images show that our confidence prior achieves significantly better performance than existing state-of-the-art methods",yes,"主题混杂(去雾);Discussion 节为清洗者合成,不可作证据;Results 的因果解释密度最高(REASON=4)"
12_CNN_Transformer_PR2023,A2,2023,"CNN 缺长程依赖;Transformer 缺局部与平移不变性(互补性论证)","RW 末节 CNN and Transformer combined methods + To solve above-mentioned problems(符合 R2 R5)",双编码器 + FCM + Transformer 解码器,yes(4.5.1 FCM / 4.5.2 编码器 / 4.5.3 解码器 三组),"Experiments show that our method achieves very good results, and it consistently outperforms the state-of-the-art segmentation networks",yes,"用 1% DSC vs 10% HD 的量级对比完成非对称让步;Conclusion 给出边界细节局限并附 hedge 式机制"
13_BiDirectional_TIP2024,A2,2024,"编码丢失局部细节与全局上下文;CNN 与 Transformer 特征未对齐;边界不准","RW 末节 CNN and Transformer Hybrid Networks(符合 R2)",Bi-AG + CNN 解码器 + PD + BAD,yes(Table I 结构变体 + Table II 融合模块变体),"Quantitative and qualitative analyses demonstrate that our network achieves better accuracy in skin lesion segmentation than existing state-of-the-art methods",yes,"主题混杂(医学);失败案例图 Fig.9 被 Conclusion 局限段逐行引用,是全语料闭环最完整的一篇"
16_MultiScale_IS2018,A2,2018,"手工特征需领域知识;多尺度扩展未涉及尺度间关系;高阶扩展缺噪声抗性(三 folds 显式枚举)","RW 末段 Inspired by successful applications ... To our knowledge, feature learning methods have not been used for smoke recognition",3D 局部差分 + 学习投影矩阵 + 双编码 + Taylor 系数,yes(4.2.5 学习类方法对比 + 4.2.6 SOTA 对比),"Experimental results demonstrate that the proposed method achieves better performance than most existing handcrafted methods and learning based feature extraction methods",yes,"三条诊断与四条贡献一一对应,是手工特征时代闭环最完整的一篇;Conclusion 局限写出误差跨层累积机制"
17_DoubleMapping_PR2012,A1,2012,"泛化性能差;Haar-like 特征形状可变(统计学习语言,非信息缺失语言)","无独立 RW(综述在 Introduction)",多尺度划分 + 双映射框架,yes(Fig.8 ROC 对比 Haar-like 特征),"Experimental results show that the proposed method has quite better generalization performances and less sensitivity to image geometry transform than Haar-like feature based methods",partial,"诊断层用统计学习语言而非信息缺失语言,与 2016 年后的论证方式不同;提取质量中低,公式全部排除"
18_DualGuided_TMM2024,A3,2024,"GAP 与聚类的局限;域间差异","RW 末节 Frequency Domain Learning(符合 R2)",FPGM/MFP + DGSM + FGM + MDFEDM,yes(Ablation Study 在比较之后),"Extensive experiments verify the superiority of DGFPNet",yes,"主导团队为 Wen/Huang/Ma,一手风格价值低;参考文献整段排除"
19_HighOrder_LTP_IS2016,A2,2016,"LTP 只用一阶导数;上下 LBP 码分解导致信息丢失;高阶扩展缺噪声抗性","RW 2. Related work(无小节) + Motivated by the success of feature combination",HLTP(共现信息) + LPP + HLTPMC(噪声抗性),yes(4.2.1-4.2.9 逐类方法对比 + 4.2.10 汇总),"Experiments on large scale smoke data sets show that our method can achieve detection rates above 94% with false alarm rates below 1.33%",yes,"唯一在摘要给数字的论文;Conclusion 坦诚式限定 LPP is not compulsory;Introduction 承认 feature combination 无法理论证明"
20_GP_IEEEAccess2017,A1,2017,"LBP 特征对烟雾不够;SVM 泛化不足;LDA 在二分类退化为一维","RW 末段用 LDA 的数学退化否定对手并给替代(最强定位)",KPCA + GPR 三步流水线,yes(A. 直接 GPR vs KPCA-GPR 对比),"Experimental results show that combination of LBP KPCA and GPR is able to improve the performance of smoke detection and texture classification, and our method obviously outperforms LBP-like methods with SVM",yes,"kth-tips 上 SVM-RBF 94.22% 略高于 KPCA-GPR 94.02%,作者给出精确数字不做掩饰"
21_LBP_LBPV_FireSafety2011,A1,2011,"现有纹理法对旋转光照敏感;单尺度丢全局信息(未上升到信息缺失式诊断)","无独立 RW(综述在 Introduction 1.1/1.2)",LBP/LBPV 金字塔直方图序列,no(无消融小节),"Experimental results show that the features are insensitive to rotation and illumination, and that the method is feasible and effective",partial,"无消融,模块合法性靠理论论证;有全语料唯一的真正独立 Discussion,内容是系统级限制;摘要为纯步骤枚举"
30_DualEncoded_KSII2019,A2,2019,"Curvelet 系数被当整体特征;频间关系未利用","RW 末段 To this end we propose a duplex feature coding approach",Dual-LBP + CLBP 拼接,no(无独立消融),"Extensive experiments show that our method achieves improvements in smoke recognition over some state-of-the-art methods",partial,"无消融;用 ROC 视角替代指标劣势(DRs 不明显超出但 ROC 更优)"
31_SubOriented_KSII2016,A1,2016,"传统 LBP 直方图完全丢弃 LBP 码的空间分布;LBP 码只是标签无数值意义","无独立 RW(综述在 Introduction)",Sub oriented histograms(空间分布) + 汉明距离梯度,no(无独立消融),"Experiments show that our approach not only has better performance than existing methods in smoke detection, but also has good performance in texture classification",partial,"信息缺失式诊断→模块命名的最典型范例,但无消融支撑;PLBP RIU2 的 DRs 略高,用 FAR/ERR 完成非对称让步"
36_FeatureAggregation_TCE2025,A1,2025,"自注意力二次复杂度;其他注意力感受野小;通道信息未利用;低频结构被削弱","RW 末段仅说 there remain some improvements(全语料定位最弱)",HPA + MSCA + AFF,yes(TABLE I 网络设计 + TABLE II 窗口尺寸 + TABLE III AFF),"Extensive experiments on public benchmark datasets indicate that the proposed model is more efficient than state-of-the-art methods",yes,"定位段最弱且无章节路线句,结论强度用 competitive(最保守);主题混杂(超分)"
