Rule_ID,Section,Pattern,When,Why,Do,Language_Marker,TierA_Support,TierB_Validation,Counterexamples,Temporal_Coverage,Topic_Coverage,Venue_Coverage,Confounds,Confidence,Whitelist,Avoid
X1,CrossSection,目的在前机制在后,每次引入一个模块,不让模块凭空出现,"To <purpose>, we <propose/design/present/adopt> <Module (ABBR)>",To ... we propose,"17篇(A1:07/20/31/36; A2:01/02/03/05/11/12/13/16/19/30; A3:04/06/18)","09/10 在Results成立但Conclusion密度为0","20号Methods仅1个(复述既有算子);21号摘要为纯步骤枚举",2016-2026,四种主题全覆盖,IEEE+Elsevier+KSII,密度受年代与venue影响(Conclusion 3.3-11.2),high,yes,不得写成 We propose X. X is used to...
X2,CrossSection,缺陷收敛为信息缺失并以该信息命名模块,从文献评述过渡到自己动机,让模块名本身成为诊断结论,"写 Although X works well it discards/does not involve/loses <某类信息>; 紧接 To capture <该信息> we propose <以该信息命名的模块>",discard/not involve/lose/not be modelled/ignore,"10篇(31/07/01/02/03/11/12/13/16/19)",09/10 同样成立,"17(2012)与21(2011)用统计学习语言无此层",2016-2026,四种主题全覆盖,全部,无,high,yes,不得提出与诊断无关的模块
X3,CrossSection,our在Results暴涨而we-propose在Conclusion达峰,选择各节主语,Results比较对象是方法本身;Conclusion是重新宣告,Results用 our method/our <模块> 作主语;Conclusion用 we propose 复述每个模块,our vs we propose,全22篇密度方向一致,一致,无,2011-2026,全覆盖,全部,无,high,yes,不得在Results写 we propose
X4,CrossSection,过去时严格限于Results,写动词时态,方法是现在的主张;实验是做过的事,方法与模块用现在时;仅Results用过去时描述实验,we conducted/performed/compared,全22篇(Front/Methods/Conclusion中位数为0),一致,08与17在Conclusion有少量过去时过程句,2011-2026,全覆盖,全部,被动语态高低是年代效应已剔除,high,yes,不得在Conclusion用过去时叙述实验过程
X5,CrossSection,证据锚点严格限于Methods与Results,引用表号图号,保持前后章节的抽象层级,Front与Conclusion正文不放表号;Introduction可引一次难点示例图;Conclusion局限段可引失败案例图,As shown in/as listed in,全22篇,一致,"07在Introduction引Fig.1;13在Conclusion局限段引Fig.9(白名单例外)",2011-2026,全覆盖,全部,无,high,yes,不得写无出处的观察
X6,CrossSection,锚点与we-find-that合写,陈述实验观察,把出处与判断压在一句里,"As shown in Table N, we find that <观察>",we find that(30次其中23次在Results),"02/30/01/05/08/11/04",一致,04与36更多用 TABLE N presents 变体,2016-2026,全覆盖,全部,锚点化本身是领域惯例,medium-high,yes,不得只写锚点不给观察
T1,Title,机制在前任务在后用for铰接,写方法类论文标题,读完前半句就知道技术贡献,[机制名词短语] + for + [任务名],for,18篇TierA,09/10 成立,"08(Deep Smoke Segmentation三词);21(任务在前用with)",2012-2026,四种主题,全部,无,high,yes,不得用 Using;不得把任务提到句首
T2,Title,标题写机制全称缩写留给摘要,论文有带缩写的网络或模块,缩写在标题里不可读,标题写全称;摘要用 to propose a Xxx Network (XYN) 首次定义,无缩写出现在标题,11篇TierA,09/10 成立,无,2019-2026,smoke+medical+SR,IEEE+Elsevier,无,high,yes,不得在标题放 W-Net/CCENet 这类内部命名
T3,Title,机制槽位偏好成对双路命名,方法由两互补分支或两次操作构成,方法本身高频采用互补双路,用 Dual-/Bi-/double/A and B complementary 显式对偶词,Dual-/Bi-/double,7篇TierA,09/10 成立,"03/11/36 为单机制标题",2012-2026,smoke+medical+fewshot,全部,无,medium-high,yes,方法无对偶性时不得硬套
T4,Title,A/An加评价形容词开头,想在标题传达定位,给方法定性,An effective/A lightweight/A Comprehensive,A/An+形容词,4篇TierA,不适用,13篇不用冠词开头,2023-2025,smoke+medical+SR,Elsevier 3篇 IEEE 1篇,venue效应显著,low,no,不得给IEEE稿件套 An effective
T5,Title,任务名取最精确粒度并在正文论证升级,命名任务,他对任务粒度敏感且会显式论证,按 detection-recognition-segmentation-density estimation 选最精确者并在Introduction论证更难,任务名,7篇TierA,不适用,非烟雾五篇不参与该阶梯,2011-2022,仅smoke,全部,主题条件,high,yes(限smoke),不得用超出贡献的任务名
T6,Title,标题槽位不超过两个9到14词,定稿标题,控制信息密度,一个机制短语加一个任务短语,词数,11篇TierA,一致,"08仅3词;17达20词",2016-2025,全覆盖,全部,可能受审稿压缩影响,medium,yes,不得把数据集名参数量性能数字写进标题
A1,Abstract,首句难点归因到对象物理视觉属性,写摘要第一句,不用领域重要性开场,第一句给 对象+具体属性+因此难,semi-transparency/blurry boundary/large variations,10篇TierA,一致,"5篇用目的开场;7篇用任务定义开场;21用最平淡领域开场",2012-2025,smoke+medical,全部,无,medium-high,yes,不得把难点归因到缺数据集或算力
A2,Abstract,钩连句回指难点并首次定义缩写,难点说完进入方法,不让难点与方法之间出现空档,"To solve these problems/Aiming at solving these problems, we propose <方法名(缩写)>",To solve these problems,12篇TierA,09/10 成立,"11把方法作第一句主语;12先讲两句背景",2016-2026,全覆盖,全部,句型常见但强制回指是个人特征,high,yes,不得用 In this paper we propose 单独成句而不回指
A3,Abstract,逐模块巡览每模块前置目的从句,摘要主体介绍2到5个模块,先说要达到什么再说造了什么,每模块写成 To <purpose> we <verb> <Module>;用 first-then-In addition-Finally 串联,Finally(13篇摘要末模块句前),17篇TierA,09/10 成立,"21为纯步骤枚举Firstly-Secondly-Thirdly-And fourthly;11为论证式组织",2016-2026,四种主题,全部,与X1同源,high,yes,不得先名后用;不得省略序数连接词
A4,Abstract,结尾固定实验加比较结论且不给数字,摘要末1到2句,句式高度固定且刻意不给数值,Experiments/Experimental results/Extensive experiments show/demonstrate/validate that our method outperforms...,Experiments show that,20篇TierA,09/10 成立,19号是唯一在摘要给数字的(94%/1.33%),2011-2026,全覆盖,全部,句式本身是通用学术英语,high(不给数字)/low(句式),yes(仅不给数字),不得在摘要列多数据集逐项指标
A5,Abstract,确定性强度分层且与年份地位无关,选结论句强度词,强度跟结果本身挂钩,压倒优势用significantly outperforms;一般用outperforms;接近时用competitive/good/satisfying,significantly/competitive,8篇TierA,一致,"36(2025 A1)用competitive最保守;16用most existing缩小范围",2019-2025,全覆盖,全部,无,medium-high,yes,不得一律套 significantly outperforms
A6,Abstract,180到260词长度增长花在模块数,定稿摘要,长度与模块数正相关与背景无关,背景加钩连不超2句;模块巡览占六到七成;结论1到2句,词数,8篇TierA,一致,"36仅144词(3模块);13达285词(双编码器加三解码器加六损失)",2016-2025,全覆盖,全部,无,medium-high,yes,不得用超过2句写领域重要性
I1,Introduction,首段落在真实世界代价上,写Introduction第一段,指向具体后果而非研究热度,写清任务失败会导致什么真实损失以及谁受益,casualties/property losses/firefighters,9篇TierA,一致,"36与12走纯任务定义开场;11落在下游技术代价",2011-2024,smoke+medical,全部,主题条件,medium-high,yes,不得写 has attracted increasing attention
I2,Introduction,传统方案物理前提失效式过渡,任务存在非视觉的传统替代方案,用物理限制推出视觉方法的必要性,旧方案原理-必须满足的物理前提-该前提在目标场景不成立-因此需视觉方法,installed in close proximity/combustion products,9篇TierA,一致,"11/12/13无此段;36退化为插值过度平滑",2011-2025,smoke 8篇 SR 1篇,全部,主题效应显著,high(限smoke)/medium(迁移形式),yes(限smoke),不得把旧方案写成精度低
